sample_id	mags	lat	lon	microntology
SAMEA10739616	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739535	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739751	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739913	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739832	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739670	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10740984	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741875	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741794	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10740588	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741479	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10740669	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741398	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10740948	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741677	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741839	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10740786	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741758	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10740867	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741596	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10739634	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739553	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739715	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739742	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739580	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739904	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739823	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739661	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10740975	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741866	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741785	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10740894	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10740579	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741389	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10740498	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10739940	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10740939	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741668	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10740777	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741749	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10740696	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10740858	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741587	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10739625	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739544	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739706	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739760	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739922	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739841	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10740993	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741884	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10740597	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10740759	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741488	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10740678	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10741569	True			['host-associated', 'saliva', 'animal host', 'mammalian host', 'mouth', 'digestive tract', 'human host']
SAMEA10739607	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
SAMEA10739526	True			['host-associated', 'animal host', 'mammalian host', 'intestine', 'digestive tract', 'human host']
